short_name,age,height_cm,weight_kg,overall,potential,pace,shooting,passing,dribbling,defending,physic,player_positions,position_category
L. Messi,34,170,72,93,93,85,92,91,95,34,65,"RW, ST, CF",ATTACKER
R. Lewandowski,32,185,81,92,92,78,92,79,86,44,82,ST,ATTACKER
Cristiano Ronaldo,36,187,83,91,91,87,94,80,88,34,75,"ST, LW",ATTACKER
Neymar Jr,29,175,68,91,91,91,83,86,94,37,63,"LW, CAM",ATTACKER
K. De Bruyne,30,181,70,91,91,76,86,93,88,64,78,"CM, CAM",MIDFIELDER
K. Mbappé,22,182,73,91,95,97,88,80,92,36,77,"ST, LW",ATTACKER
H. Kane,27,188,89,90,90,70,91,83,83,47,83,ST,ATTACKER
N. Kanté,30,168,70,90,90,78,66,75,82,87,83,"CDM, CM",MIDFIELDER
K. Benzema,33,185,81,89,89,76,86,81,87,39,77,"CF, ST",ATTACKER
H. Son,28,183,78,89,89,88,87,82,86,43,69,"LM, CF, LW",MIDFIELDER
Casemiro,29,185,84,89,89,65,73,76,73,86,90,CDM,MIDFIELDER
V. van Dijk,29,193,92,89,89,78,60,71,72,91,84,CB,DEFENDER
S. Mané,29,175,69,89,89,91,83,80,89,44,77,LW,ATTACKER
M. Salah,29,175,71,89,89,90,87,81,90,45,75,RW,ATTACKER
J. Kimmich,26,177,75,89,90,70,73,86,84,83,79,"CDM, RB",MIDFIELDER
Sergio Ramos,35,184,82,88,88,70,70,76,74,88,84,CB,DEFENDER
L. Suárez,34,182,83,88,88,72,90,82,84,47,83,ST,ATTACKER
T. Kroos,31,183,76,88,88,53,81,91,81,71,68,CM,MIDFIELDER
R. Lukaku,28,191,94,88,88,84,87,74,78,39,83,ST,ATTACKER
R. Sterling,26,170,69,88,89,91,82,79,87,45,66,"LW, RW",ATTACKER
Bruno Fernandes,26,179,69,88,89,75,86,89,84,70,77,CAM,ATTACKER
E. Haaland,20,194,94,88,93,89,91,65,80,45,88,ST,ATTACKER
S. Agüero,33,173,70,87,87,71,89,75,87,33,69,ST,ATTACKER
L. Modrić,35,172,66,87,87,73,76,89,88,72,66,CM,MIDFIELDER
Á. Di María,33,180,69,87,87,83,81,86,87,48,69,"RW, LW",ATTACKER
T. Müller,31,185,76,87,87,67,84,83,80,56,71,"CAM, RM, RW",ATTACKER
C. Immobile,31,185,85,87,87,86,87,67,81,39,77,ST,ATTACKER
P. Pogba,28,191,84,87,87,71,81,86,86,65,83,"CM, LM",MIDFIELDER
M. Verratti,28,165,60,87,87,64,61,87,91,79,67,"CM, CAM",MIDFIELDER
Marquinhos,27,183,75,87,90,81,53,75,74,89,81,"CB, CDM",DEFENDER
L. Goretzka,26,189,82,87,88,81,82,82,84,81,86,"CM, CDM",MIDFIELDER
P. Dybala,27,177,75,87,88,84,86,86,90,40,60,"CF, CAM",ATTACKER
A. Robertson,27,178,64,87,88,84,61,81,81,82,76,LB,DEFENDER
F. de Jong,24,180,74,87,92,81,69,85,88,77,78,"CM, CDM, CB",MIDFIELDER
T. Alexander-Arnold,22,180,69,87,92,79,68,88,80,80,72,RB,DEFENDER
J. Sancho,21,180,76,87,91,81,76,82,91,36,65,"RM, CF, LM",MIDFIELDER
Rúben Dias,24,187,82,87,91,61,38,65,68,88,88,CB,DEFENDER
G. Chiellini,36,187,85,86,86,68,46,60,59,89,85,CB,DEFENDER
M. Hummels,32,191,96,86,86,56,59,77,73,89,77,CB,DEFENDER
Jordi Alba,32,170,68,86,86,86,69,81,83,77,71,"LB, LM",DEFENDER
Thiago,30,174,70,86,86,63,72,86,90,70,66,"CM, CDM",MIDFIELDER
Sergio Busquets,32,189,76,86,86,42,62,79,80,82,75,"CDM, CM",MIDFIELDER
Parejo,32,182,74,86,86,50,83,90,81,71,69,CM,MIDFIELDER
L. Insigne,30,163,59,86,86,87,78,85,90,36,45,"LW, CF",ATTACKER
K. Koulibaly,30,187,89,86,86,81,28,51,65,87,85,CB,DEFENDER
R. Varane,28,191,81,86,88,82,49,64,65,87,82,CB,DEFENDER
R. Mahrez,30,179,67,86,86,81,79,81,90,38,60,"RW, RM",ATTACKER
Gerard Moreno,29,180,77,86,86,79,86,77,84,46,73,"ST, RM, RW",ATTACKER
J. Vardy,34,179,74,86,86,85,84,70,80,52,73,ST,ATTACKER
Fabinho,27,188,78,86,88,67,69,78,78,85,83,"CDM, CB",MIDFIELDER
João Cancelo,27,182,74,86,87,85,71,83,84,80,72,"RB, LB",DEFENDER
A. Laporte,27,191,85,86,89,63,50,72,69,86,80,CB,DEFENDER
K. Coman,25,180,76,86,87,93,76,79,88,30,60,"LM, RM, LW",MIDFIELDER
Bernardo Silva,26,173,64,86,87,80,76,83,91,54,67,"CAM, CM, RW",ATTACKER
Marcos Llorente,26,184,74,86,89,88,80,81,82,78,82,"CM, RM, ST",MIDFIELDER
Rodri,25,191,82,86,89,61,70,77,78,82,82,CDM,MIDFIELDER
M. Škriniar,26,188,80,86,88,80,41,53,69,87,84,CB,DEFENDER
A. Gómez,33,167,68,85,85,87,78,84,87,39,55,"CAM, CF, CM",ATTACKER
Thiago Silva,36,183,79,85,85,53,54,72,72,86,78,CB,DEFENDER
David Silva,35,173,67,85,85,63,74,87,87,52,53,"CAM, CM",ATTACKER
E. Cavani,34,185,77,85,85,66,86,70,76,51,79,ST,ATTACKER
E. Hazard,30,175,74,85,85,84,80,82,88,35,63,LW,ATTACKER
L. Bonucci,34,190,85,85,85,64,58,69,72,86,80,CB,DEFENDER
İ. Gündoğan,30,180,80,85,85,65,80,85,86,73,72,"CM, CDM",MIDFIELDER
M. Reus,32,180,71,85,85,73,84,84,85,47,63,"CAM, CF",ATTACKER
K. Walker,31,183,83,85,85,92,63,76,78,80,82,RB,DEFENDER
P. Aubameyang,32,187,80,85,85,89,85,75,80,35,69,"ST, LW, LM",ATTACKER
Koke,29,176,75,85,85,70,75,85,81,79,80,"CM, CDM",MIDFIELDER
A. Griezmann,30,176,73,85,85,80,84,84,87,52,72,"ST, LW, RW",ATTACKER
S. de Vrij,29,189,78,85,85,72,41,64,70,87,79,CB,DEFENDER
Roberto Firmino,29,181,76,85,85,77,78,79,89,59,78,CF,ATTACKER
M. Depay,27,176,78,85,86,82,83,82,84,30,79,"CF, LW, CAM",ATTACKER
Carvajal,29,173,73,85,85,80,54,78,80,81,80,RB,DEFENDER
Jorginho,29,180,68,85,85,55,67,86,81,73,73,"CM, CDM",MIDFIELDER
S. Gnabry,25,176,77,85,86,83,84,79,86,43,69,"RM, LM, RW",MIDFIELDER
